거래ID,거래일시,고객ID,고객연령,고객성별,고객지역,제품코드,제품명,카테고리,수량,단가,총금액,결제방법,할인율,마케팅채널,판매사원ID
TXN000852,2025-04-27 12:15:32,CUST0722,26,여성,대구,PRD008,노트북 MacBook Air,전자제품,2,2100000,3990000,신용카드,5,헬스장추천,EMP043
TXN000853,2025-03-09 16:30:26,CUST2783,30,여성,수원,PRD003,운동화 Nike Air Max,의류/신발,1,100000,80000,카드,20,헬스장추천,EMP020
TXN000854,2025-05-21 18:57:40,CUST4489,39,남성,인천,PRD006,블루투스 스피커,전자제품,1,150000,150000,할부,0,카카오톡,EMP009
TXN000855,2025-03-14 16:51:13,CUST3229,43,여성,김포,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,현금,0,헬스장추천,EMP022
TXN000856,2025-04-08 18:05:14,CUST1972,41,남성,대구,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,할부,0,페이스북,EMP001
TXN000857,2025-06-07 16:34:05,CUST1123,20,여성,수원,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,700000,현금,0,크로스핏,EMP008
TXN000858,2025-05-26 15:04:23,CUST1365,33,남성,용인,PRD008,노트북 MacBook Air,전자제품,2,2100000,3990000,할부,5,지인추천,EMP016
TXN000859,2025-04-05 21:41:59,CUST3334,46,여성,부산,PRD009,프로틴 파우더,건강식품,1,100000,100000,카드,0,매장방문,EMP040
TXN000860,2025-05-11 18:52:02,CUST4302,62,남성,성남,PRD001,화장품 세트,뷰티,2,100000,200000,현금,0,쿠팡,EMP006
TXN000861,2025-04-16 17:18:09,CUST3068,50,여성,부천,PRD005,요가매트,스포츠용품,1,50000,50000,신용카드,0,네이버블로그,EMP037
TXN000862,2025-04-24 21:17:30,CUST4939,56,여성,구리,PRD005,요가매트,스포츠용품,1,50000,50000,할부,0,카카오톡,EMP033
TXN000863,2025-05-30 09:48:57,CUST2750,42,여성,부산,PRD003,운동화 Nike Air Max,의류/신발,1,100000,85000,할부,15,유튜브,EMP006
TXN000864,2025-05-19 14:03:12,CUST0329,33,남성,수원,PRD001,화장품 세트,뷰티,1,100000,100000,현금,0,쿠팡,EMP015
TXN000865,2025-04-10 18:40:02,CUST4315,54,여성,하남,PRD001,화장품 세트,뷰티,1,100000,85000,신용카드,15,카페추천,EMP050
TXN000866,2025-02-19 11:38:11,CUST3534,19,남성,하남,PRD005,요가매트,스포츠용품,1,50000,40000,신용카드,20,인플루언서,EMP041
TXN000867,2025-05-02 10:55:35,CUST2000,28,여성,부천,PRD009,프로틴 파우더,건강식품,1,100000,75000,할부,25,페이스북,EMP005
TXN000868,2025-06-02 19:10:45,CUST0604,65,남성,수원,PRD009,프로틴 파우더,건강식품,1,100000,95000,현금,5,구글광고,EMP008
TXN000869,2025-04-04 16:31:25,CUST0342,58,여성,광주,PRD001,화장품 세트,뷰티,1,100000,100000,카드,0,네이버블로그,EMP044
TXN000870,2025-04-30 19:59:59,CUST0054,37,여성,서울,PRD001,화장품 세트,뷰티,3,100000,270000,카드,10,페이스북,EMP038
TXN000871,2025-06-14 18:11:31,CUST4123,55,남성,대구,PRD002,무선이어폰 AirPods,전자제품,1,200000,190000,신용카드,5,온라인몰,EMP026
TXN000872,2025-05-27 19:00:09,CUST0122,60,남성,서울,PRD001,화장품 세트,뷰티,1,100000,100000,현금,0,블로그,EMP024
TXN000873,2025-03-26 17:46:17,CUST4527,58,남성,의정부,PRD001,화장품 세트,뷰티,1,100000,95000,할부,5,지인추천,EMP012
TXN000874,2025-03-28 17:15:27,CUST0663,43,남성,구리,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,560000,신용카드,20,인스타그램,EMP016
TXN000875,2025-03-29 10:01:41,CUST0254,38,여성,시흥,PRD008,노트북 MacBook Air,전자제품,1,2100000,1890000,현금,10,매장방문,EMP032
TXN000876,2025-04-07 13:57:04,CUST4335,64,여성,울산,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,신용카드,0,페이스북,EMP041
TXN000877,2025-04-04 18:48:57,CUST0548,39,남성,인천,PRD003,운동화 Nike Air Max,의류/신발,4,100000,400000,신용카드,0,크로스핏,EMP024
TXN000878,2025-04-22 14:25:36,CUST1774,55,남성,서울,PRD009,프로틴 파우더,건강식품,1,100000,95000,현금,5,인스타그램,EMP031
TXN000879,2025-04-22 18:10:49,CUST1982,52,남성,김포,PRD005,요가매트,스포츠용품,1,50000,50000,카드,0,네이버쇼핑,EMP023
TXN000880,2025-03-06 17:31:03,CUST4929,54,여성,부산,PRD010,책상 IKEA,가구,1,300000,300000,신용카드,0,쿠팡,EMP003
TXN000881,2025-02-11 17:14:29,CUST3448,55,여성,평택,PRD002,무선이어폰 AirPods,전자제품,1,200000,180000,현금,10,페이스북,EMP001
TXN000882,2025-03-05 19:21:38,CUST0809,56,여성,부천,PRD005,요가매트,스포츠용품,5,50000,250000,현금,0,유튜브,EMP014
TXN000883,2025-04-08 18:12:24,CUST4132,27,여성,부천,PRD001,화장품 세트,뷰티,2,100000,150000,현금,25,TV광고,EMP036
TXN000884,2025-03-26 11:48:31,CUST1171,61,여성,대구,PRD001,화장품 세트,뷰티,1,100000,85000,현금,15,카페추천,EMP016
TXN000885,2025-01-04 09:46:34,CUST3745,41,여성,용인,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,신용카드,0,매장방문,EMP015
TXN000886,2025-04-03 09:23:08,CUST1901,18,여성,수원,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,665000,신용카드,5,유튜브,EMP023
TXN000887,2025-04-26 14:30:37,CUST1937,46,여성,부산,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,630000,신용카드,10,크로스핏,EMP031
TXN000888,2025-04-22 16:39:28,CUST1075,63,여성,시흥,PRD010,책상 IKEA,가구,1,300000,300000,현금,0,블로그,EMP014
TXN000889,2025-05-27 13:26:20,CUST3955,62,여성,김포,PRD008,노트북 MacBook Air,전자제품,3,2100000,5985000,현금,5,크로스핏,EMP033
TXN000890,2025-05-25 14:40:32,CUST3613,24,남성,시흥,PRD009,프로틴 파우더,건강식품,1,100000,95000,현금,5,크로스핏,EMP008
TXN000891,2025-04-19 13:32:01,CUST4831,45,여성,서울,PRD007,커피머신 Nespresso,가전제품,1,300000,270000,할부,10,크로스핏,EMP014
TXN000892,2025-04-26 19:32:58,CUST3397,45,여성,부산,PRD008,노트북 MacBook Air,전자제품,1,2100000,1995000,신용카드,5,매장방문,EMP020
TXN000893,2025-06-04 13:11:18,CUST2861,54,남성,성남,PRD002,무선이어폰 AirPods,전자제품,3,200000,480000,할부,20,네이버쇼핑,EMP033
TXN000894,2025-03-30 14:15:25,CUST4382,44,여성,안양,PRD001,화장품 세트,뷰티,1,100000,100000,카드,0,TV광고,EMP007
TXN000895,2025-05-15 13:03:16,CUST0083,38,여성,성남,PRD001,화장품 세트,뷰티,1,100000,85000,현금,15,TV광고,EMP043
TXN000896,2025-06-03 15:54:58,CUST3600,23,남성,평택,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,신용카드,0,인플루언서,EMP002
TXN000897,2025-04-29 10:49:16,CUST1886,45,여성,수원,PRD003,운동화 Nike Air Max,의류/신발,3,100000,270000,카드,10,학교할인,EMP007
TXN000898,2025-04-29 11:06:20,CUST4458,36,남성,안양,PRD006,블루투스 스피커,전자제품,3,150000,382500,신용카드,15,네이버쇼핑,EMP008
TXN000899,2025-04-14 09:59:33,CUST0609,56,남성,안양,PRD002,무선이어폰 AirPods,전자제품,1,200000,180000,현금,10,카페추천,EMP013
TXN000900,2025-03-10 14:07:11,CUST2756,51,남성,의정부,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,카드,0,학교할인,EMP011
TXN000901,2025-03-27 20:27:45,CUST1614,51,남성,광주,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,신용카드,0,온라인몰,EMP034
TXN000902,2025-05-28 15:28:52,CUST2147,62,남성,울산,PRD008,노트북 MacBook Air,전자제품,1,2100000,1890000,현금,10,네이버쇼핑,EMP020
TXN000903,2025-06-05 09:31:13,CUST3493,50,여성,광주,PRD006,블루투스 스피커,전자제품,1,150000,150000,현금,0,쿠팡,EMP015
TXN000904,2025-04-29 14:03:46,CUST4625,62,여성,안산,PRD001,화장품 세트,뷰티,2,100000,190000,신용카드,5,네이버블로그,EMP027
TXN000905,2025-02-01 14:35:49,CUST1411,43,남성,하남,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,신용카드,0,구글광고,EMP039
TXN000906,2025-05-03 17:19:39,CUST3114,48,남성,안양,PRD006,블루투스 스피커,전자제품,1,150000,150000,현금,0,페이스북,EMP016
TXN000907,2025-03-18 13:11:00,CUST2249,38,여성,성남,PRD002,무선이어폰 AirPods,전자제품,1,200000,190000,신용카드,5,네이버쇼핑,EMP018
TXN000908,2025-03-31 15:28:19,CUST1180,61,여성,용인,PRD005,요가매트,스포츠용품,1,50000,50000,현금,0,쿠팡,EMP024
TXN000909,2025-05-11 12:54:07,CUST1652,29,여성,부산,PRD008,노트북 MacBook Air,전자제품,2,2100000,3990000,할부,5,페이스북,EMP033
TXN000910,2025-03-27 19:36:10,CUST3986,19,남성,대전,PRD004,스마트폰 Galaxy S24,전자제품,2,700000,1330000,할부,5,학교할인,EMP015
TXN000911,2025-03-08 09:18:41,CUST2489,46,여성,부산,PRD008,노트북 MacBook Air,전자제품,1,2100000,2100000,현금,0,유튜브,EMP034
TXN000912,2025-02-25 11:30:57,CUST4447,48,남성,울산,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,할부,0,크로스핏,EMP032
TXN000913,2025-03-20 12:00:34,CUST3319,39,남성,울산,PRD008,노트북 MacBook Air,전자제품,2,2100000,3570000,신용카드,15,카페추천,EMP024
TXN000914,2025-06-02 17:36:48,CUST2607,19,여성,용인,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,할부,0,온라인몰,EMP036
TXN000915,2025-05-01 15:09:50,CUST1378,47,남성,대구,PRD004,스마트폰 Galaxy S24,전자제품,4,700000,2660000,현금,5,네이버블로그,EMP037
TXN000916,2025-02-29 10:22:26,CUST4864,58,여성,평택,PRD006,블루투스 스피커,전자제품,2,150000,285000,할부,5,온라인광고,EMP004
TXN000917,2025-05-16 14:43:30,CUST0733,41,여성,평택,PRD008,노트북 MacBook Air,전자제품,1,2100000,2100000,현금,0,유튜브,EMP035
TXN000918,2025-05-01 13:00:18,CUST0993,52,남성,구리,PRD001,화장품 세트,뷰티,1,100000,100000,할부,0,유튜브,EMP025
TXN000919,2025-04-04 19:31:48,CUST1473,42,남성,안산,PRD006,블루투스 스피커,전자제품,1,150000,142500,카드,5,학교할인,EMP030
TXN000920,2025-02-22 12:27:29,CUST3848,46,남성,서울,PRD009,프로틴 파우더,건강식품,1,100000,100000,할부,0,헬스장추천,EMP046
TXN000921,2025-06-08 11:36:32,CUST0357,42,남성,안산,PRD007,커피머신 Nespresso,가전제품,5,300000,1500000,할부,0,크로스핏,EMP016
TXN000922,2025-05-09 09:09:36,CUST2780,18,여성,부천,PRD009,프로틴 파우더,건강식품,2,100000,200000,신용카드,0,인플루언서,EMP004
TXN000923,2025-03-14 16:50:43,CUST0165,52,여성,고양,PRD003,운동화 Nike Air Max,의류/신발,1,100000,85000,할부,15,크로스핏,EMP024
TXN000924,2025-03-05 17:50:46,CUST4314,33,남성,하남,PRD003,운동화 Nike Air Max,의류/신발,3,100000,255000,현금,15,학교할인,EMP019
TXN000925,2025-04-24 18:06:51,CUST0618,47,남성,김포,PRD001,화장품 세트,뷰티,1,100000,100000,할부,0,인스타그램,EMP044
TXN000926,2025-03-30 10:39:04,CUST2033,43,여성,안양,PRD009,프로틴 파우더,건강식품,1,100000,95000,할부,5,헬스장추천,EMP017
TXN000927,2025-05-19 13:19:06,CUST1864,51,여성,대구,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,700000,신용카드,0,쿠팡,EMP014
TXN000928,2025-05-08 11:45:55,CUST3325,35,여성,안산,PRD002,무선이어폰 AirPods,전자제품,4,200000,760000,카드,5,쿠팡,EMP029
TXN000929,2025-04-16 10:16:32,CUST3535,25,여성,대전,PRD005,요가매트,스포츠용품,3,50000,120000,카드,20,페이스북,EMP020
TXN000930,2025-02-26 17:49:41,CUST2817,54,남성,하남,PRD008,노트북 MacBook Air,전자제품,1,2100000,1785000,카드,15,네이버블로그,EMP045
TXN000931,2025-05-16 17:51:11,CUST3632,39,남성,대구,PRD010,책상 IKEA,가구,1,300000,285000,카드,5,페이스북,EMP031
TXN000932,2025-04-28 16:40:11,CUST1424,37,여성,의정부,PRD006,블루투스 스피커,전자제품,5,150000,712500,신용카드,5,TV광고,EMP030
TXN000933,2025-04-28 13:22:33,CUST3579,36,여성,성남,PRD002,무선이어폰 AirPods,전자제품,1,200000,190000,카드,5,온라인광고,EMP024
TXN000934,2025-05-13 16:38:15,CUST3716,18,여성,대전,PRD005,요가매트,스포츠용품,3,50000,112500,카드,25,페이스북,EMP032
TXN000935,2025-05-05 11:31:12,CUST1806,52,여성,구리,PRD005,요가매트,스포츠용품,2,50000,95000,할부,5,TV광고,EMP030
TXN000936,2025-03-01 09:47:12,CUST4114,25,남성,하남,PRD005,요가매트,스포츠용품,4,50000,200000,신용카드,0,유튜브,EMP015
TXN000937,2025-03-24 11:49:32,CUST3008,62,여성,평택,PRD003,운동화 Nike Air Max,의류/신발,1,100000,95000,신용카드,5,인스타그램,EMP044
TXN000938,2025-02-12 12:55:33,CUST0840,51,여성,하남,PRD001,화장품 세트,뷰티,1,100000,100000,카드,0,인스타그램,EMP021
TXN000939,2025-02-26 14:56:08,CUST4162,39,남성,구리,PRD005,요가매트,스포츠용품,1,50000,45000,신용카드,10,카페추천,EMP010
TXN000940,2025-05-17 20:10:02,CUST0832,23,남성,성남,PRD009,프로틴 파우더,건강식품,1,100000,80000,카드,20,쿠팡,EMP034
TXN000941,2025-04-26 11:00:32,CUST3415,33,여성,인천,PRD003,운동화 Nike Air Max,의류/신발,2,100000,190000,할부,5,유튜브,EMP033
TXN000942,2025-05-09 13:05:38,CUST3852,47,남성,의정부,PRD006,블루투스 스피커,전자제품,1,150000,105000,할부,30,카카오톡,EMP044
TXN000943,2025-03-09 11:03:51,CUST3519,47,여성,부산,PRD001,화장품 세트,뷰티,3,100000,300000,현금,0,헬스장추천,EMP023
TXN000944,2025-03-29 20:57:02,CUST4930,41,여성,용인,PRD008,노트북 MacBook Air,전자제품,1,2100000,1995000,신용카드,5,학교할인,EMP032
TXN000945,2025-02-12 17:14:08,CUST1404,19,여성,서울,PRD009,프로틴 파우더,건강식품,1,100000,95000,신용카드,5,TV광고,EMP013
TXN000946,2025-02-05 20:47:55,CUST3061,31,남성,의정부,PRD001,화장품 세트,뷰티,2,100000,200000,신용카드,0,온라인광고,EMP021
TXN000947,2025-05-11 20:36:42,CUST0032,27,남성,울산,PRD008,노트북 MacBook Air,전자제품,1,2100000,1470000,신용카드,30,지인추천,EMP009
TXN000948,2025-05-31 15:24:37,CUST1485,50,여성,평택,PRD006,블루투스 스피커,전자제품,1,150000,135000,할부,10,인플루언서,EMP031
TXN000949,2025-04-04 12:04:14,CUST3208,30,여성,하남,PRD005,요가매트,스포츠용품,1,50000,47500,할부,5,크로스핏,EMP049
TXN000950,2025-03-22 10:38:06,CUST2120,59,여성,시흥,PRD010,책상 IKEA,가구,1,300000,255000,신용카드,15,쿠팡,EMP030
TXN000951,2025-02-10 16:54:10,CUST3429,40,여성,대전,PRD010,책상 IKEA,가구,1,300000,285000,할부,5,매장방문,EMP034
TXN000952,2025-06-01 16:05:08,CUST3410,21,여성,평택,PRD001,화장품 세트,뷰티,3,100000,285000,신용카드,5,카페추천,EMP026
TXN000953,2025-04-06 14:03:15,CUST1481,29,남성,용인,PRD005,요가매트,스포츠용품,1,50000,40000,현금,20,구글광고,EMP046
TXN000954,2025-05-09 19:12:49,CUST1233,53,남성,서울,PRD006,블루투스 스피커,전자제품,1,150000,150000,카드,0,구글광고,EMP024
TXN000955,2025-05-22 19:14:53,CUST4869,48,여성,고양,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,700000,신용카드,0,유튜브,EMP005
TXN000956,2025-04-16 14:50:12,CUST0696,20,여성,구리,PRD006,블루투스 스피커,전자제품,2,150000,300000,카드,0,페이스북,EMP030
TXN000957,2025-03-02 15:48:04,CUST3799,47,여성,시흥,PRD003,운동화 Nike Air Max,의류/신발,2,100000,160000,신용카드,20,유튜브,EMP010
TXN000958,2025-02-07 10:38:36,CUST3956,33,여성,고양,PRD001,화장품 세트,뷰티,2,100000,200000,할부,0,지인추천,EMP025
TXN000959,2025-02-21 14:02:30,CUST4715,61,여성,의정부,PRD007,커피머신 Nespresso,가전제품,1,300000,300000,카드,0,유튜브,EMP038
TXN000960,2025-02-28 18:12:30,CUST2639,26,남성,수원,PRD003,운동화 Nike Air Max,의류/신발,1,100000,95000,할부,5,학교할인,EMP005
TXN000961,2025-02-19 16:36:21,CUST3796,42,여성,서울,PRD009,프로틴 파우더,건강식품,1,100000,100000,카드,0,구글광고,EMP016
TXN000962,2025-04-26 19:09:11,CUST1710,37,여성,대구,PRD009,프로틴 파우더,건강식품,1,100000,85000,카드,15,페이스북,EMP015
TXN000963,2025-05-31 12:58:32,CUST1155,32,남성,성남,PRD010,책상 IKEA,가구,1,300000,285000,현금,5,크로스핏,EMP028
TXN000964,2025-06-11 12:44:00,CUST0276,49,남성,구리,PRD002,무선이어폰 AirPods,전자제품,1,200000,180000,현금,10,지인추천,EMP029
TXN000965,2025-04-28 21:02:03,CUST0108,33,남성,대전,PRD008,노트북 MacBook Air,전자제품,5,2100000,10500000,카드,0,헬스장추천,EMP011
TXN000966,2025-03-04 14:13:52,CUST3188,65,여성,구리,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,신용카드,0,TV광고,EMP011
TXN000967,2025-04-07 09:49:34,CUST2847,64,여성,울산,PRD008,노트북 MacBook Air,전자제품,2,2100000,3780000,카드,10,헬스장추천,EMP036
TXN000968,2025-02-21 13:59:43,CUST2498,19,남성,용인,PRD005,요가매트,스포츠용품,4,50000,160000,할부,20,구글광고,EMP005
TXN000969,2025-03-25 11:47:47,CUST1803,32,여성,시흥,PRD003,운동화 Nike Air Max,의류/신발,1,100000,90000,할부,10,네이버블로그,EMP005
TXN000970,2025-05-11 14:54:39,CUST4165,24,여성,시흥,PRD009,프로틴 파우더,건강식품,1,100000,100000,할부,0,구글광고,EMP016
TXN000971,2025-02-08 14:09:37,CUST3743,31,남성,서울,PRD004,스마트폰 Galaxy S24,전자제품,3,700000,1575000,할부,25,온라인광고,EMP033
TXN000972,2025-04-12 16:21:18,CUST1656,21,여성,성남,PRD006,블루투스 스피커,전자제품,2,150000,300000,신용카드,0,지인추천,EMP010
TXN000973,2025-03-07 19:57:43,CUST4488,48,여성,하남,PRD002,무선이어폰 AirPods,전자제품,2,200000,400000,현금,0,카페추천,EMP017
TXN000974,2025-03-07 15:15:57,CUST4860,22,여성,평택,PRD006,블루투스 스피커,전자제품,1,150000,150000,현금,0,인스타그램,EMP049
TXN000975,2025-05-11 11:48:14,CUST2148,38,여성,광주,PRD003,운동화 Nike Air Max,의류/신발,1,100000,85000,현금,15,카페추천,EMP041
TXN000976,2025-05-04 14:01:58,CUST4538,26,여성,부천,PRD009,프로틴 파우더,건강식품,1,100000,100000,현금,0,카카오톡,EMP001
TXN000977,2025-04-05 16:46:14,CUST4583,23,남성,성남,PRD009,프로틴 파우더,건강식품,2,100000,200000,현금,0,헬스장추천,EMP006
TXN000978,2025-03-02 09:54:04,CUST2447,59,남성,대구,PRD005,요가매트,스포츠용품,1,50000,47500,현금,5,TV광고,EMP030
TXN000979,2025-04-06 20:27:25,CUST1843,53,여성,인천,PRD001,화장품 세트,뷰티,1,100000,100000,현금,0,페이스북,EMP032
TXN000980,2025-05-28 20:28:57,CUST2165,29,여성,성남,PRD007,커피머신 Nespresso,가전제품,1,300000,300000,카드,0,TV광고,EMP001
TXN000981,2025-05-06 12:39:37,CUST4886,19,여성,의정부,PRD002,무선이어폰 AirPods,전자제품,3,200000,480000,현금,20,온라인몰,EMP015
TXN000982,2025-03-06 16:39:00,CUST4857,25,남성,고양,PRD001,화장품 세트,뷰티,1,100000,95000,카드,5,유튜브,EMP028
TXN000983,2025-05-03 21:28:47,CUST2026,21,여성,수원,PRD002,무선이어폰 AirPods,전자제품,2,200000,380000,신용카드,5,카페추천,EMP016
TXN000984,2025-03-17 13:42:33,CUST2039,35,남성,김포,PRD006,블루투스 스피커,전자제품,1,150000,150000,현금,0,TV광고,EMP015
TXN000985,2025-04-28 18:27:40,CUST3309,44,여성,하남,PRD002,무선이어폰 AirPods,전자제품,1,200000,150000,현금,25,헬스장추천,EMP024
TXN000986,2025-04-11 20:22:09,CUST2624,37,남성,고양,PRD007,커피머신 Nespresso,가전제품,3,300000,810000,신용카드,10,쿠팡,EMP025
TXN000987,2025-04-09 16:07:05,CUST1959,54,여성,구리,PRD005,요가매트,스포츠용품,1,50000,50000,현금,0,카페추천,EMP003
TXN000988,2025-03-20 16:01:27,CUST0939,23,여성,평택,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,700000,현금,0,카카오톡,EMP017
TXN000989,2025-06-21 11:52:31,CUST2262,32,여성,안산,PRD005,요가매트,스포츠용품,1,50000,50000,현금,0,지인추천,EMP009
TXN000990,2025-05-29 14:54:16,CUST3947,18,남성,수원,PRD002,무선이어폰 AirPods,전자제품,1,200000,160000,현금,20,네이버블로그,EMP007
TXN000991,2025-03-25 09:03:41,CUST3381,32,여성,용인,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,595000,현금,15,온라인몰,EMP033
TXN000992,2025-05-31 16:46:04,CUST3141,21,여성,의정부,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,665000,카드,5,네이버블로그,EMP034
TXN000993,2025-03-29 14:55:37,CUST2826,63,남성,부천,PRD004,스마트폰 Galaxy S24,전자제품,5,700000,3325000,신용카드,5,헬스장추천,EMP022
TXN000994,2025-01-19 09:50:11,CUST2154,34,남성,김포,PRD009,프로틴 파우더,건강식품,1,100000,100000,신용카드,0,블로그,EMP010
TXN000995,2025-03-04 17:44:10,CUST1283,54,남성,부천,PRD007,커피머신 Nespresso,가전제품,1,300000,300000,할부,0,네이버쇼핑,EMP001
TXN000996,2025-05-24 21:43:55,CUST0092,62,남성,대전,PRD001,화장품 세트,뷰티,1,100000,100000,카드,0,크로스핏,EMP044
TXN000997,2025-06-03 19:36:17,CUST4077,51,여성,부천,PRD006,블루투스 스피커,전자제품,1,150000,142500,카드,5,네이버쇼핑,EMP010
TXN000998,2025-04-08 21:56:24,CUST1744,43,여성,서울,PRD002,무선이어폰 AirPods,전자제품,2,200000,380000,신용카드,5,카카오톡,EMP013
TXN000999,2025-04-10 20:28:42,CUST3114,52,여성,시흥,PRD001,화장품 세트,뷰티,1,100000,95000,신용카드,5,TV광고,EMP038
TXN001000,2025-05-11 18:04:29,CUST1712,26,남성,대전,PRD002,무선이어폰 AirPods,전자제품,2,200000,380000,신용카드,5,네이버블로그,EMP049
TXN001001,2025-05-27 21:34:47,CUST3414,47,여성,대전,PRD002,무선이어폰 AirPods,전자제품,1,200000,150000,현금,25,유튜브,EMP003
TXN001002,2025-02-13 10:22:43,CUST1344,42,여성,안산,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,할부,0,헬스장추천,EMP002
TXN001003,2025-03-08 20:47:03,CUST1974,57,남성,부천,PRD003,운동화 Nike Air Max,의류/신발,1,100000,85000,현금,15,크로스핏,EMP031
TXN001004,2025-04-17 14:42:49,CUST1525,49,여성,대전,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,카드,0,카카오톡,EMP025
TXN001005,2025-05-08 19:17:19,CUST4535,65,여성,구리,PRD001,화장품 세트,뷰티,1,100000,90000,현금,10,네이버블로그,EMP032
TXN001006,2025-05-21 17:19:00,CUST1909,27,남성,시흥,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,현금,0,온라인몰,EMP001
TXN001007,2025-04-06 17:41:26,CUST0654,65,남성,평택,PRD006,블루투스 스피커,전자제품,1,150000,150000,신용카드,0,카페추천,EMP020
TXN001008,2025-03-13 19:06:00,CUST0848,60,여성,성남,PRD006,블루투스 스피커,전자제품,1,150000,150000,신용카드,0,인플루언서,EMP033
TXN001009,2025-03-20 09:14:29,CUST3859,20,여성,인천,PRD001,화장품 세트,뷰티,5,100000,450000,카드,10,카페추천,EMP050
TXN001010,2025-05-03 10:46:18,CUST2931,61,여성,수원,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,700000,카드,0,카페추천,EMP014
TXN001011,2025-04-26 10:34:06,CUST3675,41,여성,고양,PRD002,무선이어폰 AirPods,전자제품,1,200000,170000,현금,15,헬스장추천,EMP015
TXN001012,2025-04-08 21:54:01,CUST2017,58,남성,부천,PRD009,프로틴 파우더,건강식품,3,100000,300000,할부,0,카카오톡,EMP017
TXN001013,2025-05-20 16:10:17,CUST2541,56,여성,수원,PRD004,스마트폰 Galaxy S24,전자제품,4,700000,2800000,카드,0,구글광고,EMP025
TXN001014,2025-05-21 15:08:23,CUST4602,42,여성,수원,PRD009,프로틴 파우더,건강식품,5,100000,450000,할부,10,인스타그램,EMP013
TXN001015,2025-06-17 21:55:58,CUST4218,58,남성,부산,PRD002,무선이어폰 AirPods,전자제품,3,200000,600000,카드,0,구글광고,EMP037
TXN001016,2025-02-27 15:23:35,CUST0876,18,여성,김포,PRD001,화장품 세트,뷰티,1,100000,100000,신용카드,0,온라인광고,EMP003
TXN001017,2025-01-13 16:33:46,CUST2303,23,남성,인천,PRD002,무선이어폰 AirPods,전자제품,2,200000,400000,현금,0,유튜브,EMP001
TXN001018,2025-05-03 20:43:32,CUST1985,60,여성,인천,PRD001,화장품 세트,뷰티,1,100000,85000,신용카드,15,온라인몰,EMP010
TXN001019,2025-05-03 19:16:29,CUST0191,18,여성,성남,PRD009,프로틴 파우더,건강식품,1,100000,70000,할부,30,온라인광고,EMP009
TXN001020,2025-06-06 13:41:18,CUST3080,63,여성,의정부,PRD008,노트북 MacBook Air,전자제품,1,2100000,1995000,현금,5,블로그,EMP014
TXN001021,2025-06-14 15:37:41,CUST2063,53,남성,구리,PRD002,무선이어폰 AirPods,전자제품,1,200000,160000,카드,20,페이스북,EMP040
TXN001022,2025-02-22 09:57:52,CUST3591,51,남성,대구,PRD001,화장품 세트,뷰티,1,100000,95000,신용카드,5,학교할인,EMP036
TXN001023,2025-06-07 21:18:59,CUST0258,44,여성,울산,PRD001,화장품 세트,뷰티,1,100000,75000,신용카드,25,네이버블로그,EMP018
TXN001024,2025-03-28 14:28:06,CUST0696,40,여성,인천,PRD003,운동화 Nike Air Max,의류/신발,5,100000,400000,현금,20,블로그,EMP043
TXN001025,2025-05-10 10:48:49,CUST0735,23,여성,수원,PRD004,스마트폰 Galaxy S24,전자제품,3,700000,1890000,신용카드,10,매장방문,EMP033
TXN001026,2025-03-25 20:06:06,CUST0757,60,여성,서울,PRD009,프로틴 파우더,건강식품,1,100000,90000,현금,10,유튜브,EMP025
TXN001027,2025-05-31 12:27:53,CUST3092,21,여성,시흥,PRD002,무선이어폰 AirPods,전자제품,1,200000,150000,신용카드,25,네이버쇼핑,EMP017
TXN001028,2025-04-04 19:40:28,CUST3481,29,남성,시흥,PRD004,스마트폰 Galaxy S24,전자제품,4,700000,2660000,현금,5,네이버블로그,EMP013
TXN001029,2025-03-18 21:16:15,CUST2445,52,남성,울산,PRD005,요가매트,스포츠용품,1,50000,42500,카드,15,페이스북,EMP020
TXN001030,2025-05-04 14:37:19,CUST3416,18,여성,용인,PRD002,무선이어폰 AirPods,전자제품,1,200000,180000,할부,10,블로그,EMP006
